"National Team","No","Pos","Player","Captain","Age","Caps","Goals","Value","Club","Club Country","Final Squad (26)"
"Netherlands","","MF","Marten de Roon","No","35","42","1","$521M","Atalanta","Italy","Yes"
"Netherlands","","MF","Tijjani Reijnders","No","27","30","7","$92M","Manchester City","England","Yes"
"Netherlands","","MF","Teun Koopmeiners","No","28","27","3","$64M","Juventus","Italy","Yes"
"Netherlands","","MF","Ryan Gravenberch","No","24","25","1","$140M","Liverpool","England","Yes"
"Netherlands","","MF","Justin Kluivert","No","27","11","0","$72M","Bournemouth","England","Yes"
"Netherlands","","MF","Quinten Timber","No","24","10","1","$71M","Marseille","France","Yes"
"Netherlands","","MF","Guus Til","No","28","6","1","$42M","PSV Eindhoven","Netherlands","Yes"
"Netherlands","","FW","Memphis Depay","No","32","108","55","$18M","Corinthians","Brazil","Yes"
"Netherlands","","FW","Wout Weghorst","No","33","51","14","$521M","Ajax","Netherlands","Yes"
"Netherlands","","FW","Donyell Malen","No","27","51","13","$65M","Roma","Italy","Yes"
"Netherlands","","FW","Cody Gakpo","No","27","48","19","$90M","Liverpool","England","Yes"
"Netherlands","","FW","Noa Lang","No","26","15","3","$22M","Galatasaray","Turkey","Yes"
"Netherlands","","FW","Brian Brobbey","No","24","10","1","$52M","Sunderland","England","Yes"
"Netherlands","","FW","Crysencio Summerville","No","24","0","0","$79M","West Ham United","England","Yes"
"Sweden","1","GK","Jacob Widell Zetterström","No","27","3","0","$10M","Derby County","England","Yes"
"Sweden","2","DF","Gustaf Lagerbielke","No","26","10","2","$39M","Braga","Portugal","Yes"
"Sweden","3","DF","Victor Lindelöf","Yes","31","76","3","$46M","Aston Villa","England","Yes"
"Sweden","4","DF","Isak Hien","No","27","28","0","$37M","Atalanta","Italy","Yes"
"Sweden","5","DF","Gabriel Gudmundsson","No","27","23","0","$60M","Leeds United","England","Yes"
"Sweden","6","DF","Herman Johansson","No","28","3","0","$5M","FC Dallas","United States","Yes"
"Sweden","7","MF","Lucas Bergvall","No","20","9","0","$98M","Tottenham Hotspur","England","Yes"
"Sweden","8","DF","Daniel Svensson","No","24","12","0","$92M","Borussia Dortmund","Germany","Yes"
"Sweden","9","FW","Alexander Isak","No","26","57","17","$431M","Liverpool","England","Yes"
"Sweden","10","FW","Benjamin Nygren","No","24","10","3","$20M","Celtic","Scotland","Yes"
"Sweden","11","FW","Anthony Elanga","No","24","29","6","$90M","Newcastle United","England","Yes"
"Sweden","12","GK","Viktor Johansson","No","27","12","0","$17M","Stoke City","England","Yes"
"Sweden","13","FW","Ken Sema","No","32","33","5","$496K","Pafos","Cyprus","Yes"
"Sweden","14","DF","Hjalmar Ekdal","No","27","12","0","$17M","Burnley","England","Yes"
"Sweden","15","DF","Carl Starfelt","No","31","17","0","$64M","Celta Vigo","Spain","Yes"
"Sweden","16","MF","Jesper Karlström","No","30","24","0","$19M","Udinese","Italy","Yes"
"Sweden","17","FW","Viktor Gyökeres","No","28","32","19","$77M","Arsenal","England","Yes"
"Sweden","18","MF","Yasin Ayari","No","22","20","3","$78M","Brighton & Hove Albion","England","Yes"
"Sweden","19","MF","Mattias Svanberg","No","27","40","2","$6M","VfL Wolfsburg","Germany","Yes"
"Sweden","20","DF","Eric Smith","No","29","1","0","$10M","FC St. Pauli","Germany","Yes"
"Sweden","21","FW","Alexander Bernhardsson","No","27","10","0","$7M","Holstein Kiel","Germany","Yes"
"Sweden","22","MF","Besfort Zeneli","No","23","7","0","$8M","Union Saint-Gilloise","Belgium","Yes"
"Sweden","23","GK","Kristoffer Nordfeldt","No","36","20","0","$521M","AIK","Sweden","Yes"
"Sweden","24","DF","Elliot Stroud","No","23","0","0","$5M","Mjällby AIF","Sweden","Yes"
"Sweden","25","FW","Gustaf Nilsson","No","29","9","3","$6M","Club Brugge","Belgium","Yes"
"Sweden","26","FW","Taha Ali","No","27","1","0","$4M","Malmö FF","Sweden","Yes"
"Tunisia","","GK","Aymen Dahmen","No","29","37","0","$394K","CS Sfaxien","Tunisia","Yes"
"Tunisia","","GK","Sabri Ben Hessen","No","29","2","0","$181K","Étoile du Sahel","Tunisia","Yes"
"Tunisia","","GK","Mouhib Chamakh","No","24","1","0","","Club Africain","Tunisia","Yes"
"Tunisia","","DF","Montassar Talbi","No","28","62","4","$10M","Lorient","France","Yes"
"Tunisia","","DF","Dylan Bronn","No","30","52","2","$1M","Servette","Switzerland","Yes"
"Tunisia","","DF","Ali Abdi","No","32","45","7","$4M","Nice","France","Yes"
"Tunisia","","DF","Yan Valery","No","27","21","0","$6M","Young Boys","Switzerland","Yes"
"Tunisia","","DF","Mohamed Amine Ben Hamida","No","30","12","0","","Espérance de Tunis","Tunisia","Yes"
"Tunisia","","DF","Moutaz Neffati","No","21","5","0","$2M","IFK Norrköping","Sweden","Yes"
"Tunisia","","DF","Omar Rekik","No","24","4","0","$1M","Maribor","Slovenia","Yes"
"Tunisia","","DF","Adem Arous","No","21","1","0","$3M","Kasımpaşa","Turkey","Yes"
"Tunisia","","DF","Raed Chikhaoui","No","22","0","0","$257K","US Monastir","Tunisia","Yes"
"Tunisia","","MF","Ellyes Skhiri","Yes","31","81","4","$19M","Eintracht Frankfurt","Germany","Yes"
"Tunisia","","MF","Hannibal Mejbri","No","23","44","1","","Burnley","England","Yes"
"Tunisia","","MF","Anis Ben Slimane","No","25","39","4","$7M","Norwich City","England","Yes"
"Tunisia","","MF","Mortadha Ben Ouanes","No","31","17","0","","Kasımpaşa","Turkey","Yes"
"Tunisia","","MF","Ismaël Gharbi","No","22","15","2","$16M","FC Augsburg","Germany","Yes"
"Tunisia","","MF","Hadj Mahmoud","No","26","7","0","$2M","Lugano","Switzerland","Yes"
"Tunisia","","MF","Rani Khedira","No","32","2","0","$12M","Union Berlin","Germany","Yes"
"Tunisia","","FW","Elias Achouri","No","27","29","4","$18M","Copenhagen","Denmark","Yes"
"Tunisia","","FW","Firas Chaouat","No","30","28","6","$241K","Club Africain","Tunisia","Yes"
"Tunisia","","FW","Hazem Mastouri","No","28","18","4","$1M","Dynamo Makhachkala","Russia","Yes"
"Tunisia","","FW","Elias Saad","No","26","14","4","$4M","Hannover 96","Germany","Yes"
"Tunisia","","FW","Sebastian Tounekti","No","23","10","1","$15M","Celtic","Scotland","Yes"
"Tunisia","","FW","Khalil Ayari","No","21","2","0","$1M","Paris Saint-Germain","France","Yes"
"Tunisia","","FW","Rayan Elloumi","No","18","2","0","$3M","Vancouver Whitecaps FC","Canada","Yes"
"Belgium","","GK","Thibaut Courtois","No","34","107","0","$521M","Real Madrid","Spain","Yes"
"Belgium","","GK","Senne Lammens","No","23","2","0","$62M","Manchester United","England","Yes"
"Belgium","","GK","Mike Penders","No","20","0","0","$35M","Strasbourg","France","Yes"
"Belgium","","DF","Thomas Meunier","No","34","78","10","$521M","Lille","France","Yes"
"Belgium","","DF","Timothy Castagne","No","30","62","2","$44M","Fulham","England","Yes"
"Belgium","","DF","Arthur Theate","No","26","32","1","$58M","Eintracht Frankfurt","Germany","Yes"
"Belgium","","DF","Zeno Debast","No","22","26","1","$120M","Sporting CP","Portugal","Yes"
"Belgium","","DF","Maxim De Cuyper","No","25","17","4","$56M","Brighton & Hove Albion","England","Yes"
"Belgium","","DF","Brandon Mechele","No","33","7","1","$521M","Club Brugge","Belgium","Yes"
"Belgium","","DF","Koni De Winter","No","23","7","0","$43M","Milan","Italy","Yes"
"Belgium","","DF","Joaquin Seys","No","21","4","0","$46M","Club Brugge","Belgium","Yes"
"Belgium","","DF","Nathan Ngoy","No","23","2","0","$20M","Lille","France","Yes"
"Belgium","","MF","Axel Witsel","No","37","136","12","$4M","Girona","Spain","Yes"
"Belgium","","MF","Kevin De Bruyne","No","34","117","36","$521M","Napoli","Italy","Yes"
"Belgium","","MF","Youri Tielemans","Yes","29","83","12","$92M","Aston Villa","England","Yes"
"Belgium","","MF","Hans Vanaken","No","33","32","7","$521M","Club Brugge","Belgium","Yes"
"Belgium","","MF","Amadou Onana","No","24","27","1","$97M","Aston Villa","England","Yes"
"Belgium","","MF","Nicolas Raskin","No","25","11","1","$30M","Rangers","Scotland","Yes"
"Belgium","","FW","Romelu Lukaku","No","33","124","89","$521M","Napoli","Italy","Yes"
"Belgium","","FW","Leandro Trossard","No","31","50","11","$72M","Arsenal","England","Yes"
"Belgium","","FW","Jérémy Doku","No","24","41","7","$214M","Manchester City","England","Yes"
"Belgium","","FW","Dodi Lukébakio","No","28","29","5","$75M","Benfica","Portugal","Yes"
"Belgium","","FW","Charles De Ketelaere","No","25","28","5","$76M","Atalanta","Italy","Yes"
"Belgium","","FW","Alexis Saelemaekers","No","26","23","2","$71M","Milan","Italy","Yes"
"Belgium","","FW","Diego Moreira","No","21","2","0","$50M","Strasbourg","France","Yes"
"Belgium","","FW","Matias Fernandez-Pardo","No","21","0","0","$75M","Lille","France","Yes"
"Egypt","","GK","Mohamed El Shenawy","No","37","76","0","$521M","Al Ahly","Egypt","Yes"
"Egypt","","GK","Mostafa Shobeir","No","26","8","0","","Al Ahly","Egypt","Yes"
"Egypt","","GK","Mohamed Alaa","No","27","0","0","$3K","El Gouna","Egypt","Yes"
"Egypt","","GK","El Mahdy Soliman","No","39","0","0","$32K","Zamalek","Egypt","Yes"
"Egypt","","DF","Hamdy Fathy","No","31","62","3","","Al-Wakrah","Qatar","Yes"
"Egypt","","DF","Ramy Rabia","No","33","44","5","$521M","Al-Ain","United Arab Emirates","Yes"
"Egypt","","DF","Mohamed Hany","No","30","41","0","$3M","Al Ahly","Egypt","Yes"
"Egypt","","DF","Ahmed Fatouh","No","28","38","1","$6M","Zamalek","Egypt","Yes"
"Egypt","","DF","Mohamed Abdelmonem","No","27","35","3","$12M","Nice","France","Yes"
"Egypt","","DF","Yasser Ibrahim","No","33","16","1","$840K","Al Ahly","Egypt","Yes"
"Egypt","","DF","Hossam Abdelmaguid","No","25","13","0","$2M","Zamalek","Egypt","Yes"
"Egypt","","DF","Karim Hafez","No","30","8","0","$445K","Pyramids","Egypt","Yes"
"Egypt","","DF","Tarek Alaa","No","24","2","0","$579K","ZED","Egypt","Yes"
"Egypt","","MF","Marwan Attia","No","27","33","1","","Al Ahly","Egypt","Yes"
"Egypt","","MF","Emam Ashour","No","28","28","0","$27M","Al Ahly","Egypt","Yes"
"Egypt","","MF","Mohanad Lasheen","No","30","22","0","$6M","Pyramids","Egypt","Yes"
"Egypt","","MF","Mahmoud Saber","No","24","15","1","$6M","ZED","Egypt","Yes"
"Egypt","","MF","Nabil Emad","No","30","12","0","","Al-Najma","Saudi Arabia","Yes"
"Egypt","","MF","Mostafa Ziko","No","29","1","1","","Pyramids","Egypt","Yes"
"Egypt","","FW","Mohamed Salah","Yes","33","116","67","$521M","Liverpool","England","Yes"
"Egypt","","FW","Trézéguet","No","31","95","23","$24M","Al Ahly","Egypt","Yes"
"Egypt","","FW","Zizo","No","30","62","5","$26M","Al Ahly","Egypt","Yes"
"Egypt","","FW","Omar Marmoush","No","27","48","11","$127M","Manchester City","England","Yes"
"Egypt","","FW","Ibrahim Adel","No","25","23","3","$13M","Nordsjælland","Denmark","Yes"
"Egypt","","FW","Haissem Hassan","No","24","3","0","$14M","Oviedo","Spain","Yes"
"Egypt","","FW","Hamza Abdelkarim","No","18","1","0","$15M","Barcelona","Spain","Yes"
"Iran","","GK","Alireza Beiranvand","No","33","85","0","$521M","Tractor","Iran","Yes"
"Iran","","GK","Payam Niazmand","No","31","15","0","$1M","Persepolis","Iran","Yes"
"Iran","","GK","Hossein Hosseini","No","33","13","0","$521M","Sepahan","Iran","Yes"
"Iran","","DF","Ehsan Hajsafi","Yes","36","145","7","$77K","Sepahan","Iran","Yes"
"Iran","","DF","Milad Mohammadi","No","32","75","1","$521M","Persepolis","Iran","Yes"
"Iran","","DF","Ramin Rezaeian","No","36","73","7","$521M","Foolad","Iran","Yes"
"Iran","","DF","Hossein Kanaanizadegan","No","32","64","6","","Persepolis","Iran","Yes"
"Iran","","DF","Shojae Khalilzadeh","No","37","57","2","","Tractor","Iran","Yes"
"Iran","","DF","Saleh Hardani","No","27","17","1","$773K","Esteghlal","Iran","Yes"
"Iran","","DF","Ali Nemati","No","30","16","0","$945K","Foolad","Iran","Yes"
"Iran","","DF","Danial Eiri","No","22","0","0","$1M","Malavan","Iran","Yes"
"Iran","","MF","Alireza Jahanbakhsh","No","32","98","17","$521M","Dender","Belgium","Yes"
"Iran","","MF","Saeid Ezatolahi","No","29","82","1","$5M","Shabab Al-Ahli","United Arab Emirates","Yes"
"Iran","","MF","Saman Ghoddos","No","32","67","3","$521M","Kalba","United Arab Emirates","Yes"
"Iran","","MF","Mehdi Torabi","No","31","52","7","$2M","Tractor","Iran","Yes"
"Iran","","MF","Rouzbeh Cheshmi","No","32","40","3","$521M","Esteghlal","Iran","Yes"
"Iran","","MF","Mohammad Mohebi","No","27","36","14","$4M","Rostov","Russia","Yes"
"Iran","","MF","Mehdi Ghayedi","No","27","29","10","$12M","Al-Nasr","United Arab Emirates","Yes"
"Iran","","MF","Mohammad Ghorbani","No","25","15","0","$4M","Al-Wahda","United Arab Emirates","Yes"
"Iran","","MF","Aria Yousefi","No","24","13","1","$1M","Sepahan","Iran","Yes"
"Iran","","MF","Amirmohammad Razzaghinia","No","20","3","0","","Esteghlal","Iran","Yes"
"Iran","","FW","Mehdi Taremi","No","33","104","60","$521M","Olympiacos","Greece","Yes"
"Iran","","FW","Shahriyar Moghanlou","No","31","20","2","$8M","Kalba","United Arab Emirates","Yes"
"Iran","","FW","Amirhossein Hosseinzadeh","No","25","17","5","","Tractor","Iran","Yes"
"Iran","","FW","Ali Alipour","No","30","13","1","$2M","Persepolis","Iran","Yes"
"Iran","","FW","Dennis Eckert","No","29","0","0","","Standard Liège","Belgium","Yes"
"New Zealand","1","GK","Max Crocombe","No","32","22","0","$2M","Millwall","England","Yes"
"New Zealand","2","DF","Tim Payne","No","32","49","3","$840K","Wellington Phoenix","New Zealand","Yes"
"New Zealand","3","DF","Francis de Vries","No","31","18","1","$2M","Auckland FC","New Zealand","Yes"
"New Zealand","4","DF","Tyler Bindon","No","21","23","3","$19M","Sheffield United","England","Yes"
"New Zealand","5","DF","Michael Boxall","No","37","61","1","$250K","Minnesota United FC","United States","Yes"
"New Zealand","6","MF","Joe Bell","No","27","31","1","$5M","Viking","Norway","Yes"
"New Zealand","7","MF","Matthew Garbett","No","24","35","5","$5M","Peterborough United","England","Yes"
"New Zealand","8","MF","Marko Stamenić","No","24","37","3","$8M","Swansea City","Wales","Yes"
"New Zealand","9","FW","Chris Wood","Yes","34","88","45","$15M","Nottingham Forest","England","Yes"
"New Zealand","10","MF","Sarpreet Singh","No","27","26","3","$1M","Wellington Phoenix","New Zealand","Yes"
"New Zealand","11","MF","Elijah Just","No","26","42","9","$2M","Motherwell","Scotland","Yes"
"New Zealand","12","GK","Alex Paulsen","No","23","6","0","$3M","Lechia Gdańsk","Poland","Yes"
"New Zealand","13","DF","Liberato Cacace","No","25","35","1","$13M","Wrexham","Wales","Yes"
"New Zealand","14","MF","Alex Rufer","No","29","24","0","$1M","Wellington Phoenix","New Zealand","Yes"
"New Zealand","15","DF","Nando Pijnaker","No","27","23","0","$473K","Auckland FC","New Zealand","Yes"
"New Zealand","16","DF","Finn Surman","No","22","17","2","$4M","Portland Timbers","United States","Yes"
"New Zealand","17","FW","Kosta Barbarouses","No","36","74","10","$521M","Western Sydney Wanderers","Australia","Yes"
"New Zealand","18","FW","Ben Waine","No","25","30","9","$424K","Port Vale","England","Yes"
"New Zealand","19","MF","Ben Old","No","23","22","2","$5M","Saint-Étienne","France","Yes"
"New Zealand","20","MF","Callum McCowatt","No","27","30","4","$3M","Silkeborg","Denmark","Yes"
"New Zealand","21","FW","Jesse Randall","No","23","9","2","$1M","Auckland FC","New Zealand","Yes"
"New Zealand","22","GK","Michael Woud","No","27","6","0","$329K","Auckland FC","New Zealand","Yes"
"New Zealand","23","MF","Ryan Thomas","No","31","25","3","$3M","PEC Zwolle","Netherlands","Yes"
"New Zealand","24","DF","Callan Elliot","No","26","9","0","$196K","Auckland FC","New Zealand","Yes"
"New Zealand","25","MF","Lachlan Bayliss","No","23","2","0","$579K","Newcastle Jets","Australia","Yes"
"New Zealand","26","DF","Tommy Smith","No","36","56","2","$521M","Braintree Town","England","Yes"
"Cape Verde","","GK","Vozinha","No","40","85","0","$521M","Chaves","Portugal","Yes"
"Cape Verde","","GK","Márcio Rosa","No","29","10","0","$96K","Montana","Bulgaria","Yes"
"Cape Verde","","GK","CJ dos Santos","No","25","0","0","$108K","San Diego FC","United States","Yes"
"Cape Verde","","DF","Stopira","No","38","60","4","$521M","Torreense","Portugal","Yes"
"Cape Verde","","DF","Roberto Lopes","No","33","44","0","$521M","Shamrock Rovers","Ireland","Yes"
"Cape Verde","","DF","João Paulo","No","28","40","1","$11M","FCSB","Romania","Yes"
"Cape Verde","","DF","Diney","No","31","29","2","$446K","Al-Bataeh","United Arab Emirates","Yes"
"Cape Verde","","DF","Logan Costa","No","25","26","0","$87M","Villarreal","Spain","Yes"
"Cape Verde","","DF","Steven Moreira","No","31","18","0","$7M","Columbus Crew","United States","Yes"
"Cape Verde","","DF","Wagner Pina","No","23","12","0","$38M","Trabzonspor","Turkey","Yes"
"Cape Verde","","DF","Sidny Lopes Cabral","No","22","8","3","$13M","Benfica","Portugal","Yes"
"Cape Verde","","DF","Kelvin Pires","No","26","4","1","$356K","SJK","Finland","Yes"
"Cape Verde","","MF","Jamiro Monteiro","No","32","53","5","$521M","PEC Zwolle","Netherlands","Yes"
"Cape Verde","","MF","Kevin Pina","No","29","30","2","$5M","Krasnodar","Russia","Yes"
"Cape Verde","","MF","Deroy Duarte","No","26","30","0","$1M","Ludogorets Razgrad","Bulgaria","Yes"
"Cape Verde","","MF","Telmo Arcanjo","No","24","14","1","$6M","Vitória de Guimarães","Portugal","Yes"
"Cape Verde","","MF","Laros Duarte","No","29","12","0","$1M","Puskás Akadémia","Hungary","Yes"
"Cape Verde","","MF","Yannick Semedo","No","30","10","1","$1M","Farense","Portugal","Yes"
"Cape Verde","","FW","Ryan Mendes","Yes","36","94","22","$521M","Iğdır","Turkey","Yes"
"Cape Verde","","FW","Garry Rodrigues","No","35","59","9","$521M","Apollon Limassol","Cyprus","Yes"
"Cape Verde","","FW","Willy Semedo","No","32","36","2","$275K","Omonia","Cyprus","Yes"
"Cape Verde","","FW","Jovane Cabral","No","27","25","2","$12M","Estrela Amadora","Portugal","Yes"
"Cape Verde","","FW","Gilson Benchimol","No","24","21","5","$2M","Akron Tolyatti","Russia","Yes"
"Cape Verde","","FW","Dailon Livramento","No","25","20","7","$975K","Casa Pia","Portugal","Yes"
"Cape Verde","","FW","Hélio Varela","No","24","19","0","$2M","Maccabi Tel Aviv","Israel","Yes"
"Cape Verde","","FW","Nuno da Costa","No","35","7","1","$521M","İstanbul Başakşehir","Turkey","Yes"
"Saudi Arabia","","GK","Mohammed Al-Owais","No","34","63","0","$521M","Al-Ula","Saudi Arabia","Yes"
"Saudi Arabia","","GK","Nawaf Al-Aqidi","No","26","22","0","$4M","Al-Nassr","Saudi Arabia","Yes"
"Saudi Arabia","","GK","Ahmed Al-Kassar","No","35","8","0","$686K","Al-Qadsiah","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Saud Abdulhamid","No","26","53","1","$7M","Lens","France","Yes"
"Saudi Arabia","","DF","Hassan Al-Tambakti","No","27","51","0","$13M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Abdulelah Al-Amri","No","29","41","1","$5M","Al-Nassr","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Nawaf Boushal","No","26","24","0","","Al-Nassr","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Ali Lajami","No","30","20","1","$1M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Ali Majrashi","No","26","20","0","$17M","Al-Ahli","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Hassan Kadesh","No","33","19","2","","Al-Ittihad","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Moteb Al-Harbi","No","26","11","0","$5M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Jehad Thakri","No","24","6","0","","Al-Qadsiah","Saudi Arabia","Yes"
"Saudi Arabia","","DF","Mohammed Abu Al-Shamat","No","23","5","0","$24M","Al-Qadsiah","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Salem Al-Dawsari","Yes","34","108","26","$49M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Mohamed Kanno","No","31","75","8","$10M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Nasser Al-Dawsari","No","27","42","0","$8M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Abdullah Al-Khaibari","No","29","38","0","$5M","Al-Nassr","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Musab Al-Juwayr","No","22","33","6","$112M","Al-Qadsiah","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Ayman Yahya","No","25","25","0","","Al-Nassr","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Ziyad Al-Johani","No","24","11","0","$6M","Al-Ahli","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Sultan Mandash","No","31","5","1","$5M","Al-Hilal","Saudi Arabia","Yes"
"Saudi Arabia","","MF","Alaa Al-Hejji","No","30","1","0","","Neom","Saudi Arabia","Yes"
"Saudi Arabia","","FW","Firas Al-Buraikan","No","26","69","15","","Al-Ahli","Saudi Arabia","Yes"
"Saudi Arabia","","FW","Saleh Al-Shehri","No","32","55","18","$1M","Al-Ittihad","Saudi Arabia","Yes"
"Saudi Arabia","","FW","Abdullah Al-Hamdan","No","26","48","11","$8K","Al-Nassr","Saudi Arabia","Yes"
"Saudi Arabia","","FW","Khalid Al-Ghannam","No","25","5","0","$16M","Al-Ettifaq","Saudi Arabia","Yes"
"Spain","1","GK","David Raya","No","30","12","0","$93M","Arsenal","England","Yes"
"Spain","2","DF","Marc Pubill","No","22","0","0","$95M","Atlético Madrid","Spain","Yes"
"Spain","3","DF","Álex Grimaldo","No","30","12","0","","Bayer Leverkusen","Germany","Yes"
"Spain","4","DF","Eric García","No","25","19","0","$90M","Barcelona","Spain","Yes"
"Spain","5","DF","Marcos Llorente","No","31","23","0","$124M","Atlético Madrid","Spain","Yes"
"Spain","6","MF","Mikel Merino","No","29","41","10","$66M","Arsenal","England","Yes"
"Spain","7","FW","Ferran Torres","No","26","55","23","$112M","Barcelona","Spain","Yes"
"Spain","8","MF","Fabián Ruiz","No","30","41","6","0","Paris Saint-Germain","France","Yes"
"Spain","9","MF","Gavi","No","21","28","5","$150M","Barcelona","Spain","Yes"
"Spain","10","FW","Dani Olmo","No","28","48","12","$130M","Barcelona","Spain","Yes"
"Spain","11","FW","Yéremy Pino","No","23","21","4","$76M","Crystal Palace","England","Yes"
"Spain","12","DF","Pedro Porro","No","26","16","0","$81M","Tottenham Hotspur","England","Yes"
"Spain","13","GK","Joan Garcia","No","25","1","0","$124M","Barcelona","Spain","Yes"
"Spain","14","DF","Aymeric Laporte","No","32","44","2","$118M","Athletic Bilbao","Spain","Yes"
"Spain","15","MF","Álex Baena","No","24","15","2","$208M","Atlético Madrid","Spain","Yes"
"Spain","16","MF","Rodri","Yes","29","61","4","$133M","Manchester City","England","Yes"
"Spain","17","FW","Nico Williams","No","23","30","6","$142M","Athletic Bilbao","Spain","Yes"
"Spain","18","MF","Martín Zubimendi","No","27","25","3","$101M","Arsenal","England","Yes"
"Spain","19","FW","Lamine Yamal","No","18","25","6","$469M","Barcelona","Spain","Yes"
"Spain","20","MF","Pedri","No","23","40","5","$310M","Barcelona","Spain","Yes"
"Spain","21","FW","Mikel Oyarzabal","No","29","52","24","$113M","Real Sociedad","Spain","Yes"
"Spain","22","DF","Pau Cubarsí","No","19","11","0","$150M","Barcelona","Spain","Yes"
"Spain","23","GK","Unai Simón","No","29","57","0","$335M","Athletic Bilbao","Spain","Yes"
"Spain","24","DF","Marc Cucurella","No","27","23","1","$107M","Chelsea","England","Yes"
"Spain","25","FW","Víctor Muñoz","No","22","2","1","$60M","Osasuna","Spain","Yes"
"Spain","26","FW","Borja Iglesias","No","33","6","0","$521M","Celta Vigo","Spain","Yes"
"Uruguay","","GK","Fernando Muslera","No","39","134","0","$521M","Estudiantes","Argentina","Yes"
"Uruguay","","GK","Sergio Rochet","No","33","35","0","$521M","Internacional","Brazil","Yes"
"Uruguay","","GK","Santiago Mele","No","28","8","0","$9M","Monterrey","Mexico","Yes"
"Uruguay","","DF","José María Giménez","Yes","31","99","8","","Atlético Madrid","Spain","Yes"
"Uruguay","","DF","Matías Viña","No","28","43","1","$5M","River Plate","Argentina","Yes"
"Uruguay","","DF","Mathías Olivera","No","28","35","2","$42M","Napoli","Italy","Yes"
"Uruguay","","DF","Guillermo Varela","No","33","28","0","$6M","Flamengo","Brazil","Yes"
"Uruguay","","DF","Ronald Araújo","No","27","27","1","$55M","Barcelona","Spain","Yes"
"Uruguay","","DF","Sebastián Cáceres","No","26","24","0","$11M","América","Mexico","Yes"
"Uruguay","","DF","Joaquín Piquerez","No","27","19","0","$12M","Palmeiras","Brazil","Yes"
"Uruguay","","DF","Santiago Bueno","No","27","8","0","$25M","Wolverhampton Wanderers","England","Yes"
"Uruguay","","MF","Rodrigo Bentancur","No","28","74","3","$82M","Tottenham Hotspur","England","Yes"
"Uruguay","","MF","Federico Valverde","No","27","73","9","$145M","Real Madrid","Spain","Yes"
"Uruguay","","MF","Giorgian de Arrascaeta","No","32","60","13","$18M","Flamengo","Brazil","Yes"
"Uruguay","","MF","Facundo Pellistri","No","24","39","2","$29M","Panathinaikos","Greece","Yes"
"Uruguay","","MF","Manuel Ugarte","No","25","36","1","$85M","Manchester United","England","Yes"
"Uruguay","","MF","Nicolás de la Cruz","No","29","34","5","$13M","Flamengo","Brazil","Yes"
"Uruguay","","MF","Brian Rodríguez","No","26","32","4","$9M","América","Mexico","Yes"
"Uruguay","","MF","Maximiliano Araújo","No","26","28","3","$97M","Sporting CP","Portugal","Yes"
"Uruguay","","MF","Agustín Canobbio","No","27","15","1","$15M","Fluminense","Brazil","Yes"
"Uruguay","","MF","Emiliano Martínez","No","26","10","0","$521M","Palmeiras","Brazil","Yes"
"Uruguay","","MF","Rodrigo Zalazar","No","26","8","2","$75M","Braga","Portugal","Yes"
"Uruguay","","MF","Juan Manuel Sanabria","No","26","5","1","$4M","Real Salt Lake","United States","Yes"
"Uruguay","","FW","Darwin Núñez","No","26","38","13","$94M","Al-Hilal","Saudi Arabia","Yes"
"Uruguay","","FW","Federico Viñas","No","27","11","2","$8M","Oviedo","Spain","Yes"
"Uruguay","","FW","Rodrigo Aguirre","No","31","10","3","$2M","UANL","Mexico","Yes"
"France","1","GK","Brice Samba","No","32","4","0","$22M","Rennes","France","Yes"
"France","2","DF","Malo Gusto","No","23","9","0","$99M","Chelsea","England","Yes"
"France","3","DF","Lucas Digne","No","32","56","0","$521M","Aston Villa","England","Yes"
"France","4","DF","Dayot Upamecano","No","27","36","2","$98M","Bayern Munich","Germany","Yes"
"France","5","DF","Jules Koundé","No","27","46","0","$95M","Barcelona","Spain","Yes"
"France","6","MF","Manu Koné","No","25","12","0","$108M","Roma","Italy","Yes"
"France","7","FW","Ousmane Dembélé","No","29","58","7","$475M","Paris Saint-Germain","France","Yes"
"France","8","MF","Aurélien Tchouaméni","No","26","44","3","$130M","Real Madrid","Spain","Yes"
"France","9","FW","Marcus Thuram","No","28","33","3","$128M","Inter Milan","Italy","Yes"
"France","10","FW","Kylian Mbappé","Yes","27","96","56","$304M","Real Madrid","Spain","Yes"
